Type,Subtype,Indel_size,Repeat_MH_size,Lung-AdenoCA::SP53460,Lung-AdenoCA::SP50827
DEL,C,1,0,163,191
DEL,C,1,1,165,235
DEL,C,1,2,171,224
DEL,C,1,3,43,71
DEL,C,1,4,35,47
DEL,C,1,5+,14,19
DEL,T,1,0,46,68
DEL,T,1,1,36,74
DEL,T,1,2,26,38
DEL,T,1,3,41,66
DEL,T,1,4,16,36
DEL,T,1,5+,27,67
INS,C,1,0,8,9
INS,C,1,1,5,2
INS,C,1,2,5,7
INS,C,1,3,11,9
INS,C,1,4,4,12
INS,C,1,5+,5,12
INS,T,1,0,28,31
INS,T,1,1,53,89
INS,T,1,2,56,81
INS,T,1,3,17,51
INS,T,1,4,12,19
INS,T,1,5+,32,149
DEL,repeats,2,0,9,24
DEL,repeats,2,1,12,40
DEL,repeats,2,2,5,17
DEL,repeats,2,3,0,8
DEL,repeats,2,4,3,7
DEL,repeats,2,5+,1,1
DEL,repeats,3,0,6,5
DEL,repeats,3,1,4,8
DEL,repeats,3,2,0,1
DEL,repeats,3,3,1,0
DEL,repeats,3,4,1,0
DEL,repeats,3,5+,0,0
DEL,repeats,4,0,4,3
DEL,repeats,4,1,5,15
DEL,repeats,4,2,0,2
DEL,repeats,4,3,1,1
DEL,repeats,4,4,0,0
DEL,repeats,4,5+,0,0
DEL,repeats,5+,0,15,17
DEL,repeats,5+,1,4,3
DEL,repeats,5+,2,0,0
DEL,repeats,5+,3,0,0
DEL,repeats,5+,4,0,0
DEL,repeats,5+,5+,0,0
INS,repeats,2,0,3,6
INS,repeats,2,1,2,7
INS,repeats,2,2,1,3
INS,repeats,2,3,2,3
INS,repeats,2,4,1,1
INS,repeats,2,5+,0,6
INS,repeats,3,0,0,1
INS,repeats,3,1,1,4
INS,repeats,3,2,1,1
INS,repeats,3,3,0,0
INS,repeats,3,4,0,0
INS,repeats,3,5+,0,2
INS,repeats,4,0,0,0
INS,repeats,4,1,3,5
INS,repeats,4,2,0,1
INS,repeats,4,3,0,0
INS,repeats,4,4,0,0
INS,repeats,4,5+,0,0
INS,repeats,5+,0,3,3
INS,repeats,5+,1,8,8
INS,repeats,5+,2,0,0
INS,repeats,5+,3,0,0
INS,repeats,5+,4,0,0
INS,repeats,5+,5+,0,0
DEL,MH,2,1,18,29
DEL,MH,3,1,3,0
DEL,MH,3,2,4,6
DEL,MH,4,1,6,6
DEL,MH,4,2,1,5
DEL,MH,4,3,1,12
DEL,MH,5+,1,14,18
DEL,MH,5+,2,14,21
DEL,MH,5+,3,9,11
DEL,MH,5+,4,6,6
DEL,MH,5+,5+,1,4
